ID,State,StartTime,EndTime,StopTime,duration,workTag,Tags,runAttemptCount,stopReason,Pid/Tid,Temp(℃),totalPSS(MB),CPU(%),msg
52b50b4e-deda-44af-bc1e-a6cef19faec5-0,END,2026/07/13 18:00:43.116,2026/07/13 18:00:44.092,,00:00:00.976,BATCH_DATA_COLLECTOR,,0,NOT_STOPPED,8838/9561,36.3,85.8,0.3,Not compliant
83b88c4d-0e86-485d-af3f-cfcb155cc648-0,END,2026/07/13 18:00:42.888,2026/07/13 18:00:44.082,,00:00:01.194,BATCH_ANALYSIS,,0,NOT_STOPPED,8838/9245,36.3,85.7,0.4,Not compliant
76e69478-4c3a-43d2-86ac-0b30c9ed1dce-0,END,2026/07/13 16:41:18.745,2026/07/13 16:41:18.800,,00:00:00.055,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9246,35.1,78.5,17.5,contacts:23:noData:35.1:0.5:0.0:on;contacts:22:12.3:0.00:0.3:-0.0:0:0:0:1;
3388e4fa-cba8-47cc-b7b4-27f51876fcf4-0,END,2026/07/13 16:41:18.728,2026/07/13 16:41:18.775,,00:00:00.047,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9844,35.1,78.2,17.7,my_contact_profile:6:noData:35.1:0.3:0.0:on;my_contact_profile:5:0.0:0.00:0.1:0.0:0:0:0:1;
955e650a-98bf-4d1f-952e-c75f135a0141-0,END,2026/07/13 16:41:08.713,2026/07/13 16:41:08.722,,00:00:00.009,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9245,35.0,77.9,0.0,
63d123a6-5bdd-43c7-96ee-143c2fbc2221-0,END,2026/07/13 16:41:08.691,2026/07/13 16:41:08.696,,00:00:00.005,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9246,35.0,77.8,0.0,
ae029f5b-cd5a-47c0-8129-d5f0c0dbbfb6-0,END,2026/07/13 16:41:08.579,2026/07/13 16:41:08.651,,00:00:00.072,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9245,35.0,77.7,17.2,contacts:40:noData:35.0:0.6:-0.1:on;contacts:38:14.7:0.00:0.4:-0.1:0:0:0:1;
e6baa354-de4d-4497-bba0-f126b21d1fdd-0,END,2026/07/13 16:41:08.580,2026/07/13 16:41:08.620,,00:00:00.040,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9561,35.0,77.5,20.0,my_contact_profile:9:noData:35.0:0.3:0.0:on;my_contact_profile:7:0.0:0.00:0.1:0.0:0:0:0:1;
00b536c1-d019-4db0-b24f-732aa6286452-0,END,2026/07/13 16:40:58.540,2026/07/13 16:40:58.550,,00:00:00.010,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9844,35.1,77.1,9.0,
bebc2dfd-709a-4497-9846-936efed1af05-0,END,2026/07/13 16:40:58.540,2026/07/13 16:40:58.552,,00:00:00.012,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9561,35.1,77.2,10.8,
bedc2a00-135a-4755-b639-afb41cdf2343-0,END,2026/07/13 16:40:58.299,2026/07/13 16:40:58.349,,00:00:00.050,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9246,35.1,76.9,17.8,contacts:23:noData:35.1:0.5:0.0:on;contacts:22:14.1:0.00:0.3:0.1:0:0:0:1;
ed5bf736-a430-464c-b084-d96485976882-0,END,2026/07/13 16:40:58.282,2026/07/13 16:40:58.319,,00:00:00.037,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9561,35.1,76.6,15.9,my_contact_profile:5:noData:35.1:0.2:-0.0:on;my_contact_profile:4:0.0:0.00:0.1:-0.1:0:0:0:1;
2ab9ded0-ba00-4250-a892-538126f44d43-0,END,2026/07/13 16:40:48.269,2026/07/13 16:40:48.271,,00:00:00.002,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9844,35.2,76.2,0.0,
e4692694-f546-4cc5-b270-6ffaef19c89c-0,END,2026/07/13 16:40:48.252,2026/07/13 16:40:48.256,,00:00:00.004,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9246,35.2,76.1,0.0,
7548c1e4-a4f3-461d-9f25-95403c74f6b8-0,END,2026/07/13 16:40:47.540,2026/07/13 16:40:47.588,,00:00:00.048,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9246,35.2,75.8,19.2,my_contact_profile:14:noData:35.2:0.5:0.0:on;my_contact_profile:13:16.2:0.00:0.3:0.0:0:0:0:1;
bc646a3b-69ee-4863-bcb2-2eb76b85f5c2-0,END,2026/07/13 16:40:47.541,2026/07/13 16:40:47.603,,00:00:00.062,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9245,35.2,75.9,17.6,contacts:29:noData:35.2:0.5:0.0:on;contacts:28:14.6:0.00:0.4:0.0:0:0:0:1;
3275dadc-cf55-45d6-b521-510766cc47ac-0,END,2026/07/13 16:40:37.508,2026/07/13 16:40:37.514,,00:00:00.006,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9561,35.2,75.2,0.0,
29bd20d3-8b3f-4414-83c4-f7c451a39708-0,END,2026/07/13 16:40:37.509,2026/07/13 16:40:37.514,,00:00:00.005,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9245,35.2,75.2,0.0,
ddfc9a42-0f13-47c3-a921-d07b18ee4e84-0,END,2026/07/13 16:40:37.219,2026/07/13 16:40:37.284,,00:00:00.065,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9561,35.2,75.0,17.5,contacts:28:noData:35.2:0.5:0.0:on;contacts:28:15.0:0.00:0.3:0.1:0:0:0:1;
de21b1b1-0875-4c28-a65a-9220aa65842f-0,END,2026/07/13 16:40:37.223,2026/07/13 16:40:37.258,,00:00:00.035,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9246,35.2,74.8,21.7,my_contact_profile:6:noData:35.2:0.3:0.1:on;my_contact_profile:6:0.0:0.00:0.2:0.1:0:0:0:1;
5a1764f6-50ce-42c4-8902-c6bc1204f2e7-0,END,2026/07/13 16:40:27.195,2026/07/13 16:40:27.197,,00:00:00.002,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9245,35.2,74.3,0.0,
